資料名,資料名ヨミ,編著者,刊行年、書写年等,冊数,請求記号,注記,異なりアクセスタイトル,解説URL,＜日本語＞コレクション名,＜英語＞コレクション名,親書誌表題,親書誌の番号等,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:creator,dcterms:date,dcterms:extent,dcndl:callNumber,dcterms:description,dcndl:alternative,archiveshub:note,dcndl:seriesTitle,dcndl:seriesTitleTranscription,dcndl:seriesVolumeTitle,dcndl:volume,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,53
[外袋],,"ファン・カステール訳 ; 平野栄, 鳴門義民校",[1875.9],1枚,,画像は第26のもの。裏面に巻構成のリストと発行者の記載あり,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a4299201-94ef-4831-4c6b-6da4817c9523.json,a4299201-94ef-4831-4c6b-6da4817c9523,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/a4299201-94ef-4831-4c6b-6da4817c9523,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c1a9e263806555241a58115d55693ddee047f86.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541486,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a4299201-94ef-4831-4c6b-6da4817c9523/manifest,,,,,1
菓樹栽培法,カジュ サイバイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第1,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7fb326e3-9776-2ac0-7ad0-d791dc26415b.json,7fb326e3-9776-2ac0-7ad0-d791dc26415b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/7fb326e3-9776-2ac0-7ad0-d791dc26415b,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6a6b9fe0bb7289a09c62e38a4eff8a029023b406.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541485,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7fb326e3-9776-2ac0-7ad0-d791dc26415b/manifest,,,,,1
葡萄栽培法,ブドウ サイバイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",[1875.9],1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第2,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8414644e-2ee4-743d-8b06-b8b0e3b83ceb.json,8414644e-2ee4-743d-8b06-b8b0e3b83ceb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/8414644e-2ee4-743d-8b06-b8b0e3b83ceb,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f48561b99c12d7e56aba2e59cd7a5eb2f59db978.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541484,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8414644e-2ee4-743d-8b06-b8b0e3b83ceb/manifest,,,,,1
葡萄酒管理法,ブドウシュ カンリホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第3,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e9433446-39a7-8404-105f-462b851778a5.json,e9433446-39a7-8404-105f-462b851778a5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/e9433446-39a7-8404-105f-462b851778a5,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/35e9e13f14c908b46894f06a05acb8207e941029.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541483,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e9433446-39a7-8404-105f-462b851778a5/manifest,,,,,1
糞培法,フンバイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第4,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/66cfe948-7dce-6a04-7bd0-e41085821817.json,66cfe948-7dce-6a04-7bd0-e41085821817,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/66cfe948-7dce-6a04-7bd0-e41085821817,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/990292dae182348acc6b219987234f51503e7d47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541482,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/66cfe948-7dce-6a04-7bd0-e41085821817/manifest,,,,,1
退水法,タイスイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第5,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/05ab80b2-900e-8a18-0787-2f6d3d8c197f.json,05ab80b2-900e-8a18-0787-2f6d3d8c197f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/05ab80b2-900e-8a18-0787-2f6d3d8c197f,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/43dea43848b8ae9038756be153f9a24eb7bb6bd9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541481,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/05ab80b2-900e-8a18-0787-2f6d3d8c197f/manifest,,,,,1
牧場灌水法,ボクジョウ カンスイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第6,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/37c58367-6f39-613d-6765-55020748571d.json,37c58367-6f39-613d-6765-55020748571d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/37c58367-6f39-613d-6765-55020748571d,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8e755caf811cf66c099bc1d01ca7d5bfa0b4371e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541480,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/37c58367-6f39-613d-6765-55020748571d/manifest,,,,,1
蜜蜂養法,ミツバチ カイカタ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第7,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/879f7d68-3108-0fac-2793-492df0484813.json,879f7d68-3108-0fac-2793-492df0484813,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/879f7d68-3108-0fac-2793-492df0484813,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0f31adcf66837e3ef2829a6172e9a2981d552b15.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541479,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/879f7d68-3108-0fac-2793-492df0484813/manifest,,,,,1
蔬菜類耕種法,ソサイルイ コウシュホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第8,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/80a9cc28-a2f3-9a4b-7140-b7c2cb467a47.json,80a9cc28-a2f3-9a4b-7140-b7c2cb467a47,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/80a9cc28-a2f3-9a4b-7140-b7c2cb467a47,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d5b0691fe3fc312f4489d59a941549367253ee4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541478,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/80a9cc28-a2f3-9a4b-7140-b7c2cb467a47/manifest,,,,,1
葎草培養法,リツソウ バイヨウホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",[1875.9],1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第9,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a495e6a3-a089-7499-9345-9564fc546970.json,a495e6a3-a089-7499-9345-9564fc546970,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/a495e6a3-a089-7499-9345-9564fc546970,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5687402b524a9278e818471db29fb6b2bbdf2c69.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541477,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a495e6a3-a089-7499-9345-9564fc546970/manifest,,,,,1
養蠶法,ヨウサンホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.9,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第10,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cc05ebf3-a48d-2cfa-58c0-47598aa27551.json,cc05ebf3-a48d-2cfa-58c0-47598aa27551,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/cc05ebf3-a48d-2cfa-58c0-47598aa27551,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f9eafc70c86ece7d2889611af29da2f96d29747d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541476,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cc05ebf3-a48d-2cfa-58c0-47598aa27551/manifest,,,,,1
魚類蕃殖法,ギョルイ ハンショクホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第11,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0a04f9cc-8fa8-959b-3af8-e1d6911c4830.json,0a04f9cc-8fa8-959b-3af8-e1d6911c4830,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/0a04f9cc-8fa8-959b-3af8-e1d6911c4830,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f7fb49ab2c5cde93354a4c4766d352a26b3e1ced.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541475,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0a04f9cc-8fa8-959b-3af8-e1d6911c4830/manifest,,,,,1
樹林栽殖法,ジュリン サイショクホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",[1875.9],1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第12,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5d68013a-1b66-72b6-2911-bd13cc018fdc.json,5d68013a-1b66-72b6-2911-bd13cc018fdc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/5d68013a-1b66-72b6-2911-bd13cc018fdc,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/083c654cd58e704fee1ad59339a83bee0e7c53ac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541474,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5d68013a-1b66-72b6-2911-bd13cc018fdc/manifest,,,,,1
林木伐採法,リンボク バッサイホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",[1875.9],1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第13,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/29b16429-3a9c-7cdc-6c9f-e4367a513202.json,29b16429-3a9c-7cdc-6c9f-e4367a513202,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/29b16429-3a9c-7cdc-6c9f-e4367a513202,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d09dc869945c9127dcfcd5900fd06b861d0f51df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541473,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/29b16429-3a9c-7cdc-6c9f-e4367a513202/manifest,,,,,1
田圃耕作法,タンボ コウサクホウ,"ファン・カステール訳 ; 平野栄, 鳴門義民校",1875.12,1枚,,,,,農場博物館コレクション,Farm Museum Collection,独逸農事図解,第14,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b45ca788-1a76-774f-9e4e-c8de52027825.json,b45ca788-1a76-774f-9e4e-c8de52027825,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/agrifarm/document/b45ca788-1a76-774f-9e4e-c8de52027825,https://creativecommons.org/licenses/by/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/088a45c546856768bff5c0b669721c88f38da97b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541472,"東京大学農学生命科学研究科・農学部 / Graduate School of Agricultural and Life Sciences/Faculty of Agriculture, The University of Tokyo, JAPAN",,,農場博物館コレクション,0015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b45ca788-1a76-774f-9e4e-c8de52027825/manifest,,,,,1
