タイトル,別タイトル,記事種別,執筆者,備考,巻号,発行年月日,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:alternative,dcndl:materialType,dcterms:creator,dcterms:description,dcndl:volume,dcterms:issued,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,336
(表紙、口絵、目次),,,,口絵 : 戸田ヶ原採集隊 一行,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/62956d7c-0925-4c6c-8ef4-c3eacc6e289a.json,62956d7c-0925-4c6c-8ef4-c3eacc6e289a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/62956d7c-0925-4c6c-8ef4-c3eacc6e289a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f578875a6a7ae577d80413c96c2d123599d72524.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478158,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/62956d7c-0925-4c6c-8ef4-c3eacc6e289a/manifest,,,,,4
本誌発刊ノ趣旨,発刊ノ趣旨,,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5.json,4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/172e9dc4ae274d6e230bc2e77307fb55e4ad7e02.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478159,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c3df8d7-4faa-72b9-37f9-7ba3f9c336c5/manifest,,,,,2
博物の友発刊を喜ぶ,博物ノ友発刊ヲ喜ブ,,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58b2260e-999d-4095-08f0-fc1aef106edf.json,58b2260e-999d-4095-08f0-fc1aef106edf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/58b2260e-999d-4095-08f0-fc1aef106edf,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/643a541eaaae124174fc446a2bc9afceebf73c5f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478160,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58b2260e-999d-4095-08f0-fc1aef106edf/manifest,,,,,3
昆虫分類一覧,,雑録,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c33467fa-32f7-7940-0d65-42278d072689.json,c33467fa-32f7-7940-0d65-42278d072689,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/c33467fa-32f7-7940-0d65-42278d072689,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efd0bd3dd71f46f2d0403aacd62a27888b7611a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478161,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c33467fa-32f7-7940-0d65-42278d072689/manifest,,,,,5
昆虫分類記憶ノ歌,,雑録,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a524a5ae-15c3-2bee-a371-11a9474439a0.json,a524a5ae-15c3-2bee-a371-11a9474439a0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/a524a5ae-15c3-2bee-a371-11a9474439a0,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26c530bace5c53b2076741fe016db784db8ea9fa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478162,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a524a5ae-15c3-2bee-a371-11a9474439a0/manifest,,,,,2
質問応答,,質問応答,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c42d4a10-7928-a78d-76ac-0dbea6d06956.json,c42d4a10-7928-a78d-76ac-0dbea6d06956,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/c42d4a10-7928-a78d-76ac-0dbea6d06956,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/59bf84c28f8102109d6c785e5cffb46c3af293bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478163,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c42d4a10-7928-a78d-76ac-0dbea6d06956/manifest,,,,,2
戸田ヶ原紀行,,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c86f161-9ccd-6692-80f3-f101c4ce5ada.json,4c86f161-9ccd-6692-80f3-f101c4ce5ada,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c86f161-9ccd-6692-80f3-f101c4ce5ada,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f73895dbdeda90d185dddb0672ab1b9a5cd00074.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478164,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c86f161-9ccd-6692-80f3-f101c4ce5ada/manifest,,,,,4
戸田ヶ原採取紀行 午後,戸田ヶ原紀行,紀行,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/deda0103-1755-7a98-6b3e-6b0cac795e86.json,deda0103-1755-7a98-6b3e-6b0cac795e86,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/deda0103-1755-7a98-6b3e-6b0cac795e86,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8d02a225a6a78b6dea6c9b018fd538d59c53ffd7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478165,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/deda0103-1755-7a98-6b3e-6b0cac795e86/manifest,,,,,4
日本博物学会第一回採集 世田ヶ谷豪徳寺紀行,第一回採集紀行,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5f9435f6-6482-1cb3-a057-d040a5b73d88.json,5f9435f6-6482-1cb3-a057-d040a5b73d88,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/5f9435f6-6482-1cb3-a057-d040a5b73d88,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/430398c73a08bbe2b0bce39e3b4ebacb2ca97708.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478166,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f9435f6-6482-1cb3-a057-d040a5b73d88/manifest,,,,,3
日本博物学会第一回採集 豪徳寺紀行,第一回採集紀行,紀行,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7d93ef46-2933-60ab-8302-43237b3b236e.json,7d93ef46-2933-60ab-8302-43237b3b236e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/7d93ef46-2933-60ab-8302-43237b3b236e,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5ede62eebfef9a43eb1b542f96b22a9cd62ebd05.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478167,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7d93ef46-2933-60ab-8302-43237b3b236e/manifest,,,,,2
豪徳寺記事,第一回採集紀行,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3c9d1d6-8da8-5ae5-5182-5e405f038f92.json,e3c9d1d6-8da8-5ae5-5182-5e405f038f92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/e3c9d1d6-8da8-5ae5-5182-5e405f038f92,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/482c9e771373783b6967a736299c54df6656f647.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478168,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3c9d1d6-8da8-5ae5-5182-5e405f038f92/manifest,,,,,2
日本博物学会第二回採集 大宮八幡紀行,第二回採集紀行,紀行,村松操,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0f82c077-3cea-9ba9-49e5-7b56192b4961.json,0f82c077-3cea-9ba9-49e5-7b56192b4961,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/0f82c077-3cea-9ba9-49e5-7b56192b4961,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/31194cb0ced80844e1eee47d10c6b4472901187b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478169,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0f82c077-3cea-9ba9-49e5-7b56192b4961/manifest,,,,,3
日本博物学会第二回採集 大宮紀行,第二回採集紀行,紀行,市河三喜,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4cba3ddd-407d-9673-6155-69c15ea20d3f.json,4cba3ddd-407d-9673-6155-69c15ea20d3f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4cba3ddd-407d-9673-6155-69c15ea20d3f,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/06b9ad59cd3ec4ba509b3f7bc525d6e9a65b8043.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478170,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4cba3ddd-407d-9673-6155-69c15ea20d3f/manifest,,,,,4
「本号口絵説明」「植物隊記事ニツイテ」「採集シタルモノノ綱目ヲ序スルコトニツイテ」「会員章」「遠足」,,雑報,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7db63d91-58ec-7557-8905-b6749af49714.json,7db63d91-58ec-7557-8905-b6749af49714,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/7db63d91-58ec-7557-8905-b6749af49714,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1af80e6b699c5b972301b1abb4082ad594883f92.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478171,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7db63d91-58ec-7557-8905-b6749af49714/manifest,,,,,2
編集余筆,,雑報,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56eedcaa-37f7-a338-6184-ee6968240111.json,56eedcaa-37f7-a338-6184-ee6968240111,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/56eedcaa-37f7-a338-6184-ee6968240111,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd8777da154157322f766f181955ae3cc81a3237.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478172,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,016,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56eedcaa-37f7-a338-6184-ee6968240111/manifest,,,,,2
"「日本博物学会規則」「投稿規程 輪見方法」「現任役員」「寄附目録」「会員住所」 , 奥付",,會報,,,第1巻第1号,明治33年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/483bf88f-7dd7-00b0-8a4e-cd143248383f.json,483bf88f-7dd7-00b0-8a4e-cd143248383f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/483bf88f-7dd7-00b0-8a4e-cd143248383f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fc1236279c44dde76008cc9a4b74569e274ec835.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478173,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/483bf88f-7dd7-00b0-8a4e-cd143248383f/manifest,,,,,5
(表紙、目次、口絵),,,,"口絵 : PEGONIA-REX PUTZ. 大葉ベコニア , 口絵 : 上の紙ですかして見ると実物通りです",第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/406380b6-6ebd-133c-3dce-2985b7a03552.json,406380b6-6ebd-133c-3dce-2985b7a03552,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/406380b6-6ebd-133c-3dce-2985b7a03552,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/924143248a474682c9ab76f05000e89325bb3265.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478174,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/406380b6-6ebd-133c-3dce-2985b7a03552/manifest,,,,,5
博物之友発兌ヲ祝ス,寄書 博物の友発兌ヲ祝ス,論説,梅澤親光,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f99dfa10-3e89-8e76-9f3c-990659281912.json,f99dfa10-3e89-8e76-9f3c-990659281912,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/f99dfa10-3e89-8e76-9f3c-990659281912,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c4c6d319055f13b4ee769d2b7418b4d03f0bd1eb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478175,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,019,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f99dfa10-3e89-8e76-9f3c-990659281912/manifest,,,,,2
顯花植物の分類,顯花植物ノ分類,雑録,市河三喜,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43a8db48-a6c9-8344-2e38-74d513322a55.json,43a8db48-a6c9-8344-2e38-74d513322a55,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/43a8db48-a6c9-8344-2e38-74d513322a55,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/08b3eafb33995fedba09d50f5dbcc15ff97d4090.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478176,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,023,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43a8db48-a6c9-8344-2e38-74d513322a55/manifest,,,,,6
松うちふぐりノ実験,松うちふぐりノ実験,雑録,市河三喜,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cd2ac7d3-4554-4be5-5ad4-5b34485195d7.json,cd2ac7d3-4554-4be5-5ad4-5b34485195d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/cd2ac7d3-4554-4be5-5ad4-5b34485195d7,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/38e4d665f33462eaa6d3a0374a598e849a378ff8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478177,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,024,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cd2ac7d3-4554-4be5-5ad4-5b34485195d7/manifest,,,,,1
廿日々記,廿日々記,雑録,村松操,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c0dc8e7-2538-2891-45e7-a633c5fa2ac0.json,4c0dc8e7-2538-2891-45e7-a633c5fa2ac0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c0dc8e7-2538-2891-45e7-a633c5fa2ac0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/28d8861daaa9a3d46209f1b9ae6c4d4caa7ad662.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478178,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,025,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c0dc8e7-2538-2891-45e7-a633c5fa2ac0/manifest,,,,,3
