タイトル,別タイトル,記事種別,執筆者,備考,巻号,発行年月日,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
所蔵蝶目録,,雑録,村松,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/79064b2c-7fa3-9c89-861b-fee86fbd18d0.json,79064b2c-7fa3-9c89-861b-fee86fbd18d0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/79064b2c-7fa3-9c89-861b-fee86fbd18d0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/919029186ba2c50e02e42f9a8a9c8da37617f150.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478179,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,028,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/79064b2c-7fa3-9c89-861b-fee86fbd18d0/manifest,,,,,2
質問応答,質問、応答 質問七件 応答三件,質問応答,,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ecb144e-5679-3a4f-a50a-e8b13ac28d26.json,5ecb144e-5679-3a4f-a50a-e8b13ac28d26,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/5ecb144e-5679-3a4f-a50a-e8b13ac28d26,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87845b4133eaac3f6b00fc0170aecc86a32c6c81.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478180,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,029,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ecb144e-5679-3a4f-a50a-e8b13ac28d26/manifest,,,,,2
日本博物学会第三回採集 等々力、多摩紀行 午前,第三回採集紀行,紀行,村松操,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9127f0d9-61ff-7e02-7b99-8ba040f9685d.json,9127f0d9-61ff-7e02-7b99-8ba040f9685d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/9127f0d9-61ff-7e02-7b99-8ba040f9685d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1d3abf7b73f03e5bd1002c17e2d257c4f261dc2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478181,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,030,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9127f0d9-61ff-7e02-7b99-8ba040f9685d/manifest,,,,,2
本會第四回採集目黒紀行,第四回採集紀行,紀行,村松操,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/43729bee-4355-8359-3f3e-73d8017329d3.json,43729bee-4355-8359-3f3e-73d8017329d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/43729bee-4355-8359-3f3e-73d8017329d3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/606585ad407199f98d24611d5f166a2b193b7c59.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478182,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,032,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/43729bee-4355-8359-3f3e-73d8017329d3/manifest,,,,,3
「本誌口絵説明」「世界中最多く蝶類を所有せる者」「正誤」「昆虫採集器具及貯蔵用器具薬品類」,,雑報,,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b195bc12-a36a-4daf-0962-b3cd9f453122.json,b195bc12-a36a-4daf-0962-b3cd9f453122,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/b195bc12-a36a-4daf-0962-b3cd9f453122,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/85cea414ced46077825666c6b374d73154487f2e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478183,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,033,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b195bc12-a36a-4daf-0962-b3cd9f453122/manifest,,,,,2
"「会報」「会計報告」「寄附目録」「部報」「投稿規程」「輪見方法」 , 奥付",,會報,,,第1巻第2号,明治33年6月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4ad279ad-92c8-8d23-6ce6-0bc4dae27928.json,4ad279ad-92c8-8d23-6ce6-0bc4dae27928,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4ad279ad-92c8-8d23-6ce6-0bc4dae27928,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a3fb60374438a331a076609c1773c9e7b8d4ab9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478184,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,034,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4ad279ad-92c8-8d23-6ce6-0bc4dae27928/manifest,,,,,4
(表紙、目次),,,,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e46107b-a702-4bb3-2d56-8265595391fa.json,7e46107b-a702-4bb3-2d56-8265595391fa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/7e46107b-a702-4bb3-2d56-8265595391fa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bf14c36a4d51096a57bb8e855f65cc59a67105ba.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478185,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,035,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e46107b-a702-4bb3-2d56-8265595391fa/manifest,,,,,3
昆蟲の体色(Colors of the Insect bodies)ニ就イテ,昆蟲ノ体色ニ就イテ,論説,市河三喜,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b67b5552-7d01-5a99-31e1-300d8c3d8337.json,b67b5552-7d01-5a99-31e1-300d8c3d8337,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/b67b5552-7d01-5a99-31e1-300d8c3d8337,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1fa47049f9e880c98e500f44a45b808e7a3918d5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478186,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,036,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b67b5552-7d01-5a99-31e1-300d8c3d8337/manifest,,,,,6
人類ハ穀食動物ナリ,,論説,梅澤親光,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/95c5b9cd-9e99-3f3d-1ed2-f4f96b2e3b2b.json,95c5b9cd-9e99-3f3d-1ed2-f4f96b2e3b2b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/95c5b9cd-9e99-3f3d-1ed2-f4f96b2e3b2b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/12cc2337ccd821e1b743d3b4df0e23fb753b70bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478187,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,037,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/95c5b9cd-9e99-3f3d-1ed2-f4f96b2e3b2b/manifest,,,,,5
鉱物分類,,雑録,村松操,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4b074bdb-66b6-6e1b-0649-3b22b7559a6f.json,4b074bdb-66b6-6e1b-0649-3b22b7559a6f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4b074bdb-66b6-6e1b-0649-3b22b7559a6f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7866da9235b7e9ea44af00e238a022b278edb08c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478188,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,040,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4b074bdb-66b6-6e1b-0649-3b22b7559a6f/manifest,,,,,3
面白き性質を有せる石=方解石と電気石,面白キ性質ヲ有セル石,雑録,村松操,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1ac9f9a7-3a84-9ad7-9d9e-5a4a96ce1c8e.json,1ac9f9a7-3a84-9ad7-9d9e-5a4a96ce1c8e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/1ac9f9a7-3a84-9ad7-9d9e-5a4a96ce1c8e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f6e2c2563e68a1ed1102cc5155c27cd42415b19.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478189,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,041,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1ac9f9a7-3a84-9ad7-9d9e-5a4a96ce1c8e/manifest,,,,,2
質問応答,質問、応答 質問四件 応答四件,質問応答,,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cfb877fa-a451-97dd-6104-2318f5485a54.json,cfb877fa-a451-97dd-6104-2318f5485a54,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/cfb877fa-a451-97dd-6104-2318f5485a54,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ea801f2c1324c7248d04cabe38770dcc3f28eb1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478190,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,046,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cfb877fa-a451-97dd-6104-2318f5485a54/manifest,,,,,2
質問者並応答者ニ就イテ注意,質問者並ニ応答者ニ就イテノ注意,質問応答,,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd470135-6e61-5dbd-3edf-fb9720360317.json,dd470135-6e61-5dbd-3edf-fb9720360317,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/dd470135-6e61-5dbd-3edf-fb9720360317,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1a4ef1d913978e82c34ab7c67dbda57b723ee264.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478191,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,047,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd470135-6e61-5dbd-3edf-fb9720360317/manifest,,,,,1
大久保、中野附近採集紀行(昆虫隊記事),大久保、中野附近採集紀行,紀行,市河三喜,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/959f098a-490d-549b-9641-1f34b8f677a2.json,959f098a-490d-549b-9641-1f34b8f677a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/959f098a-490d-549b-9641-1f34b8f677a2,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d999f2ba026c52741cd58e8722b42b5528885f21.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478192,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,048,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/959f098a-490d-549b-9641-1f34b8f677a2/manifest,,,,,3
飛鳥山附近採集紀行,,紀行,市河三喜,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7cd98a6e-738e-1093-a4c1-70ded3e64c81.json,7cd98a6e-738e-1093-a4c1-70ded3e64c81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/7cd98a6e-738e-1093-a4c1-70ded3e64c81,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7158f9c5ff0ba3b393c810ad5c8147dc6ed36de9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478193,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,049,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7cd98a6e-738e-1093-a4c1-70ded3e64c81/manifest,,,,,3
博物標本交換会 一行欄,,雑報,,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/19f03477-503a-4cc3-04a9-eda2f24048d3.json,19f03477-503a-4cc3-04a9-eda2f24048d3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/19f03477-503a-4cc3-04a9-eda2f24048d3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cd40ed62b46dcc77a99aa8d94264f09b01b09a9b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478194,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,050,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/19f03477-503a-4cc3-04a9-eda2f24048d3/manifest,,,,,2
"「役員ノ異動」「会員ノ異動」「会計報告」「寄附目録」「時報」「部報」「雑誌購求」「投稿規程」「輪見方法」 , 奥付",,會報,,,第1巻第3号,明治33年9月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c73a787-2449-1bd5-6964-f07df3172b2f.json,4c73a787-2449-1bd5-6964-f07df3172b2f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4c73a787-2449-1bd5-6964-f07df3172b2f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/07c493aacdd30ee0e18f2a70f16e6ff5fcdef54a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478195,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,051,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c73a787-2449-1bd5-6964-f07df3172b2f/manifest,,,,,5
(表紙、目次、口絵),,,,口絵 : AREAS LACHINA ♂ AREAS LACHINA ♀ by M. M. 第二版,第1巻第4号,明治33年10月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/df03d6ed-1e8b-45cc-1583-1ab1503a5e37.json,df03d6ed-1e8b-45cc-1583-1ab1503a5e37,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/df03d6ed-1e8b-45cc-1583-1ab1503a5e37,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd5cbd2563ed238369939d4f3169766842fdd33e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478196,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,052,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df03d6ed-1e8b-45cc-1583-1ab1503a5e37/manifest,,,,,3
きやうじよろうニ就テ(図参看),きやうじゃうらうニ就イテ,論説,村松操,,第1巻第4号,明治33年10月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f7ed3f68-1c05-2337-0e9d-74b66efc917c.json,f7ed3f68-1c05-2337-0e9d-74b66efc917c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/f7ed3f68-1c05-2337-0e9d-74b66efc917c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c440c23a8f2290a743d6df4522fc0530da2bf25.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478197,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,053,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f7ed3f68-1c05-2337-0e9d-74b66efc917c/manifest,,,,,3
Dicranuraの幼虫に就いて,Dicranuraノ幼虫ニ就テ,論説,市河三喜,,第1巻第4号,明治33年10月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1903448c-a37d-6e55-0741-91ba6a317a77.json,1903448c-a37d-6e55-0741-91ba6a317a77,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/1903448c-a37d-6e55-0741-91ba6a317a77,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ef694b730c3e9e01e3f9025416734e131050c719.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478198,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,055,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1903448c-a37d-6e55-0741-91ba6a317a77/manifest,,,,,2
鰹節ノ害虫ニ就テ,鰹節ノ害虫ニ就イテ,論説,村松操,,第1巻第4号,明治33年10月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4ea5a9d0-34c9-314d-227a-50dc0cf754ea.json,4ea5a9d0-34c9-314d-227a-50dc0cf754ea,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/4ea5a9d0-34c9-314d-227a-50dc0cf754ea,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/17451ff8cedf92bb21de6e356ac1a3df1ec736ff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478199,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,057,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4ea5a9d0-34c9-314d-227a-50dc0cf754ea/manifest,,,,,2
昆虫の体色(Colors of Insect Bodies)ニ就イテ,昆虫ノ体色ニ就イテ(続キ),論説,市河三喜,,第1巻第4号,明治33年10月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6f08488e-6cc9-6d07-03f4-5d5172805ca8.json,6f08488e-6cc9-6d07-03f4-5d5172805ca8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/6f08488e-6cc9-6d07-03f4-5d5172805ca8,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9585b7659852ed9af9db27b61affa84921dc1477.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478200,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,058,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6f08488e-6cc9-6d07-03f4-5d5172805ca8/manifest,,,,,3
