タイトル,別タイトル,記事種別,執筆者,備考,巻号,発行年月日,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
「会員ノ異動」「会員住所」「会計報告」,数件(会員ノ異動及会員住所及会計報告),會報,,,第2巻第6号(博物の友臨時増刊第2巻第6号 韶光),明治34年1月1日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/276e8815-9199-20af-58ce-5084f4b44444.json,276e8815-9199-20af-58ce-5084f4b44444,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/276e8815-9199-20af-58ce-5084f4b44444,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a984d31173bdbf813f4845d140c4391fb3c893fb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478222,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,096,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/276e8815-9199-20af-58ce-5084f4b44444/manifest,,,,,2
所蔵昆虫目録,附録,附録,"市河三喜, 小熊捍, 村松, 橋本慎一, 大澤正五郎",第1号から第5号までの総目次及び奥付を含む,第2巻第6号(博物の友臨時増刊第2巻第6号 韶光),明治34年1月1日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/539f185b-46ec-7418-7213-ed561d7ca49c.json,539f185b-46ec-7418-7213-ed561d7ca49c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/539f185b-46ec-7418-7213-ed561d7ca49c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/08e4250e33dac0c983d3bf0049310a75aea85d32.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478223,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,097,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/539f185b-46ec-7418-7213-ed561d7ca49c/manifest,,,,,61
(表紙、目次、口絵),,,,"口絵 : 冬季之採集物 by Oguma , 口絵 : 岐阜蝶 虫譜図説所蔵大風子蝶 某外国雑誌所蔵 日光白蝶 by M. M.",第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/23027000-7dad-5bff-1c3b-e6dad09739e1.json,23027000-7dad-5bff-1c3b-e6dad09739e1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/23027000-7dad-5bff-1c3b-e6dad09739e1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2bc40d3008d20f3f0d59ae25e3d7901fce55b027.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478224,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,098,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/23027000-7dad-5bff-1c3b-e6dad09739e1/manifest,,,,,4
嗚呼伊藤圭介翁,,寄書,市河三喜,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/648839af-938f-5a95-800d-700c43c41a92.json,648839af-938f-5a95-800d-700c43c41a92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/648839af-938f-5a95-800d-700c43c41a92,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3a4b87353f9b17349ee00d027564ee5a6217c530.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478225,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,099,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/648839af-938f-5a95-800d-700c43c41a92/manifest,,,,,2
故伊藤圭介翁の伝,,寄書,市河三喜,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b41f2ae8-3d57-6bab-3725-67523a0da4bd.json,b41f2ae8-3d57-6bab-3725-67523a0da4bd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/b41f2ae8-3d57-6bab-3725-67523a0da4bd,http://creativecommons.org/licenses/by-nd/4.0/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/538cbd8f758679769a7a46631518d05dd79efa45.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478226,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b41f2ae8-3d57-6bab-3725-67523a0da4bd/manifest,,,,,3
岩石採集,,雑録,村松操,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8b4e5a44-a384-9636-3eee-8ef398e388d5.json,8b4e5a44-a384-9636-3eee-8ef398e388d5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/8b4e5a44-a384-9636-3eee-8ef398e388d5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ca3b17daeb00ac679b314984d0cf83c51df1487.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478227,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,107,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8b4e5a44-a384-9636-3eee-8ef398e388d5/manifest,,,,,2
博物笑説 胡蝶国,胡蝶国(博物笑説) 其之四,雑録,青々園,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6bfa6965-7c23-4f9f-5a81-b19b919d38ee.json,6bfa6965-7c23-4f9f-5a81-b19b919d38ee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/6bfa6965-7c23-4f9f-5a81-b19b919d38ee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9334fb0f0ab4774d6edb743ca6cba90a8a6fe919.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478228,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,108,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6bfa6965-7c23-4f9f-5a81-b19b919d38ee/manifest,,,,,3
夜間採集,,紀行,村松操,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ec89d42-a27e-6f2f-06c2-efc8753e9959.json,5ec89d42-a27e-6f2f-06c2-efc8753e9959,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/5ec89d42-a27e-6f2f-06c2-efc8753e9959,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/446d387a63734de548f18f9a77d8e6e8d4110086.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478229,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,111,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ec89d42-a27e-6f2f-06c2-efc8753e9959/manifest,,,,,3
冬ノ井頭ノ池,冬ノ井頭池,紀行,村松操,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/03cc3ce4-81b2-9d80-23f2-5480a0bc96a6.json,03cc3ce4-81b2-9d80-23f2-5480a0bc96a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/03cc3ce4-81b2-9d80-23f2-5480a0bc96a6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1dd32c6de20bf86d2041e10fa7e9e5a2f8d8e59f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478230,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,114,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/03cc3ce4-81b2-9d80-23f2-5480a0bc96a6/manifest,,,,,2
博物笑話,博物笑話,雑報,博物小僧,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a4c1c3d-2c47-4de3-5976-38fe452f095d.json,5a4c1c3d-2c47-4de3-5976-38fe452f095d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/5a4c1c3d-2c47-4de3-5976-38fe452f095d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/86c329396b8ea54d10701f4b7068a5a4fcf43071.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478231,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,115,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a4c1c3d-2c47-4de3-5976-38fe452f095d/manifest,,,,,2
投書欄,投書欄,雑報,,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/14d6e430-973a-06e7-683e-39fbf7a21c54.json,14d6e430-973a-06e7-683e-39fbf7a21c54,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/14d6e430-973a-06e7-683e-39fbf7a21c54,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8415d15e495e41020ee164aa78b8145d04a3d30d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478232,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,116,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/14d6e430-973a-06e7-683e-39fbf7a21c54/manifest,,,,,2
"「役員ノ異動」「会員ノ異動」「投稿規程」「輪見方法」 , 奥付",,會報,,,第2巻第7号,明治34年1月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a3618d4-4894-6e13-0360-147726da812c.json,2a3618d4-4894-6e13-0360-147726da812c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/2a3618d4-4894-6e13-0360-147726da812c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/54bac658060c33824600969f59a6d3a060f8b10b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478233,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,117,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2a3618d4-4894-6e13-0360-147726da812c/manifest,,,,,4
(表紙、目次、口絵),,,,"口絵 : 本會事務所 , 口絵 : 大宮附近採集物 , 口絵 : かたくりノ図 , 口絵 : Argynnis sagana ♂+♀",第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca8121db-61a9-9a3c-80ab-68da99478bee.json,ca8121db-61a9-9a3c-80ab-68da99478bee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/ca8121db-61a9-9a3c-80ab-68da99478bee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b93d4976a37e9a75432672ac1411b1238d5a176d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478234,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,118,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ca8121db-61a9-9a3c-80ab-68da99478bee/manifest,,,,,7
巻ヲ閉ズルニ臨ミテ,,記事,,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e911c9a5-8b7c-471c-a24c-7f8918fb817f.json,e911c9a5-8b7c-471c-a24c-7f8918fb817f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/e911c9a5-8b7c-471c-a24c-7f8918fb817f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/448fad7b5e9d71c4e44fea110a38016610854a03.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478235,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,119,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e911c9a5-8b7c-471c-a24c-7f8918fb817f/manifest,,,,,2
僕之実験,,記事,梅澤親光,本編では執筆者として梅雅生と記載あり,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/994d1f3c-6af1-7d6c-11df-a3591c578d14.json,994d1f3c-6af1-7d6c-11df-a3591c578d14,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/994d1f3c-6af1-7d6c-11df-a3591c578d14,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5abfeb7d757f8f332f172289d270f6bd45928b29.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478236,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,125,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/994d1f3c-6af1-7d6c-11df-a3591c578d14/manifest,,,,,3
小庭見聞,,記事,村松操,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/23b5c9df-8a52-3412-6501-ea7992c55c84.json,23b5c9df-8a52-3412-6501-ea7992c55c84,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/23b5c9df-8a52-3412-6501-ea7992c55c84,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/89896fd0919fcbc082f63d42e4992c304a003040.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478237,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,126,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/23b5c9df-8a52-3412-6501-ea7992c55c84/manifest,,,,,1
日曜,,記事,村松操,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cdabee4d-a29d-1f71-0f05-ad44dc38607d.json,cdabee4d-a29d-1f71-0f05-ad44dc38607d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/cdabee4d-a29d-1f71-0f05-ad44dc38607d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/48844068a50ba8000f4b2a5fce8478fe45054610.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478238,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,127,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cdabee4d-a29d-1f71-0f05-ad44dc38607d/manifest,,,,,2
第二採集報告,,記事,村松操,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e423fab-a148-3116-3af0-0bee3674a115.json,7e423fab-a148-3116-3af0-0bee3674a115,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/7e423fab-a148-3116-3af0-0bee3674a115,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/daea8456d5ae9469355dab950ab6d9a6f06f15ae.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478239,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,128,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e423fab-a148-3116-3af0-0bee3674a115/manifest,,,,,2
博物笑説 The Rhopalocera Kingdom 胡蝶国,博物笑説 胡蝶国(The Rhopalocera Kingdom)(第三版付),記事,青々園,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bf76d6a0-66d8-14d7-0da1-8aa175c65909.json,bf76d6a0-66d8-14d7-0da1-8aa175c65909,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/bf76d6a0-66d8-14d7-0da1-8aa175c65909,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/226e7bbdc728d85feab4f6b4e5c8768d5badcfee.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478240,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,130,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bf76d6a0-66d8-14d7-0da1-8aa175c65909/manifest,,,,,6
日本博物学同志会 第一回談話会々況,,記事,,著者名として「む・み・生」と記載あり,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f62876d7-81d8-57ca-03f7-dbff3a595cc7.json,f62876d7-81d8-57ca-03f7-dbff3a595cc7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/f62876d7-81d8-57ca-03f7-dbff3a595cc7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/539c2c428d4c6d43f61516c554de9a58079db5bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478241,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,131,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f62876d7-81d8-57ca-03f7-dbff3a595cc7/manifest,,,,,6
談話会余聞,,記事,,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b749f27f-1952-277e-64db-4c98ad2792c5.json,b749f27f-1952-277e-64db-4c98ad2792c5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/b749f27f-1952-277e-64db-4c98ad2792c5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/45f0a1dab5483b26592c794ac287d588aa70c3f5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478242,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,132,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b749f27f-1952-277e-64db-4c98ad2792c5/manifest,,,,,4
質問応答,質問二件 応答二件,質問応答,,,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2868ac4e-60fb-9ea4-6eea-8f861d4e0800.json,2868ac4e-60fb-9ea4-6eea-8f861d4e0800,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/2868ac4e-60fb-9ea4-6eea-8f861d4e0800,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3773d8a2873007e661bc0fe66776cfdf0596b01.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478243,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,133,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2868ac4e-60fb-9ea4-6eea-8f861d4e0800/manifest,,,,,2
"「会名改編」「第一回談話会」「本会趣意書」「新入会員」「退会者」 , 奥付",,會報,,挟み込み資料2点(「日博物学会規則」「日本博物学同志会規則」)あり,第2巻第8号,明治34年5月25日,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8f72802e-8c6d-8a0c-7e7b-e44af9f93a63.json,8f72802e-8c6d-8a0c-7e7b-e44af9f93a63,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hakubutsunotomo/document/8f72802e-8c6d-8a0c-7e7b-e44af9f93a63,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7a21a9f5a49be1f2191cd7791a1a1b2bbc0fb04f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/478244,"東京大学柏図書館 Kashiwa Library, The University of Tokyo, JAPAN",,,博物之友,134,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8f72802e-8c6d-8a0c-7e7b-e44af9f93a63/manifest,,,,,6
