タイトル	請求記号	所蔵	編者	サイズ	Identifier	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 18	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	417a648b-2f60-3ead-8008-b3da070b94e6	417a648b-2f60-3ead-8008-b3da070b94e6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/417a648b-2f60-3ead-8008-b3da070b94e6	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4b6981673a0f2eebd03a6d3689ad66aac5cda140.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22389			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/417a648b-2f60-3ead-8008-b3da070b94e6/manifest					72
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 19	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	611110aa-6201-896f-4de4-efe045bd742d	611110aa-6201-896f-4de4-efe045bd742d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/611110aa-6201-896f-4de4-efe045bd742d	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72770c5ac97a8cc689716954378bc898d5628475.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22390			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/611110aa-6201-896f-4de4-efe045bd742d/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 20	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	856eac73-3f9a-a523-097e-b8e2d94c1748	856eac73-3f9a-a523-097e-b8e2d94c1748	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/856eac73-3f9a-a523-097e-b8e2d94c1748	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4bb7694853f16a0621f20f9486bac3b80a6c12d9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22391			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/856eac73-3f9a-a523-097e-b8e2d94c1748/manifest					72
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 21	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	3d9eab09-8d3d-7a2d-a2a9-73e0c4209043	3d9eab09-8d3d-7a2d-a2a9-73e0c4209043	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/3d9eab09-8d3d-7a2d-a2a9-73e0c4209043	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5f8e3b73a877c1b436c3b641917835b2319f56b9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22392			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3d9eab09-8d3d-7a2d-a2a9-73e0c4209043/manifest					96
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 22	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	cb2ec445-a687-31d5-2490-595b266f2e9f	cb2ec445-a687-31d5-2490-595b266f2e9f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/cb2ec445-a687-31d5-2490-595b266f2e9f	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/852a78418a9a04bf1b92c067d986e82d3ec79f3f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22393			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cb2ec445-a687-31d5-2490-595b266f2e9f/manifest					76
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 23	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	1450ac02-62c8-09df-7094-659562592168	1450ac02-62c8-09df-7094-659562592168	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/1450ac02-62c8-09df-7094-659562592168	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2462895ef5c7d9bdc45e18bb5bb9d7fbcab8e78e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22394			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1450ac02-62c8-09df-7094-659562592168/manifest					73
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 24	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	65d62099-8834-2188-459e-b743d35d441c	65d62099-8834-2188-459e-b743d35d441c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/65d62099-8834-2188-459e-b743d35d441c	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fd368e63109056901adf5384c5e2bdcaa1607f4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22395			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/65d62099-8834-2188-459e-b743d35d441c/manifest					71
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 25	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	f9ade4bd-7e77-22da-0fb2-6e9a70396039	f9ade4bd-7e77-22da-0fb2-6e9a70396039	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/f9ade4bd-7e77-22da-0fb2-6e9a70396039	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ce8485bdeab77a1158b245dea8c55315ab51c482.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22396			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9ade4bd-7e77-22da-0fb2-6e9a70396039/manifest					40
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 26	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	cce29331-33c5-a4c7-29af-415732362311	cce29331-33c5-a4c7-29af-415732362311	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/cce29331-33c5-a4c7-29af-415732362311	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/aaa91b73b9001ed106bd2a5c2f70904d6865205c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22397			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cce29331-33c5-a4c7-29af-415732362311/manifest					40
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 27	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	cf6c9b5d-317d-2015-19b5-7f4b39ae7489	cf6c9b5d-317d-2015-19b5-7f4b39ae7489	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/cf6c9b5d-317d-2015-19b5-7f4b39ae7489	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/990b8ddb156670a9daf4e8f7e6f97104ba44b791.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22398			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cf6c9b5d-317d-2015-19b5-7f4b39ae7489/manifest					41
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 28	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	8cad3716-19aa-1ffb-6f88-b525a0a86c0d	8cad3716-19aa-1ffb-6f88-b525a0a86c0d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/8cad3716-19aa-1ffb-6f88-b525a0a86c0d	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/919843b81a3503133efc5f095c1bec7f7d2d092d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22399			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8cad3716-19aa-1ffb-6f88-b525a0a86c0d/manifest					40
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 29	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	fdc773de-55e2-2aba-2d07-21439d12781e	fdc773de-55e2-2aba-2d07-21439d12781e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/fdc773de-55e2-2aba-2d07-21439d12781e	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5d32709520d42272a57362e0bc32613e92a8e2fe.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22400			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fdc773de-55e2-2aba-2d07-21439d12781e/manifest					41
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 30	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	26bbe9de-1d48-8907-6a86-a98cb7379a79	26bbe9de-1d48-8907-6a86-a98cb7379a79	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/26bbe9de-1d48-8907-6a86-a98cb7379a79	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e22783edbe53bbcb3041e529263548a27f27ec62.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22401			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26bbe9de-1d48-8907-6a86-a98cb7379a79/manifest					42
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 31	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	bc44a3f5-1eef-a511-3449-df32a2464223	bc44a3f5-1eef-a511-3449-df32a2464223	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/bc44a3f5-1eef-a511-3449-df32a2464223	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0034c09167a6e0ac2133a8c9287c74d3f5eba0ee.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22402			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bc44a3f5-1eef-a511-3449-df32a2464223/manifest					41
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 32	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	0585a340-5f5d-7697-099d-80c46b9a82ea	0585a340-5f5d-7697-099d-80c46b9a82ea	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/0585a340-5f5d-7697-099d-80c46b9a82ea	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e4954234102e3e5c0b4792381e46c7a3584b511.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22403			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0585a340-5f5d-7697-099d-80c46b9a82ea/manifest					40
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 33	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	2dc15943-4526-6d80-39c4-f9cd7e2f93fd	2dc15943-4526-6d80-39c4-f9cd7e2f93fd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/2dc15943-4526-6d80-39c4-f9cd7e2f93fd	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9934df592cacdf12f1e9c54818c3045a2a706e8b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22404			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2dc15943-4526-6d80-39c4-f9cd7e2f93fd/manifest					41
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 34	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	a84c4e8e-0b23-5a85-1388-2601789f36ef	a84c4e8e-0b23-5a85-1388-2601789f36ef	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/a84c4e8e-0b23-5a85-1388-2601789f36ef	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ef9882f0fb65407123b59738a00fb72b5e55ed9d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22405			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a84c4e8e-0b23-5a85-1388-2601789f36ef/manifest					41
Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book 35	A100:1685	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	Seiren Matunami	22 cm	ab2b0ed4-03c0-1273-39ac-da2b659062e5	ab2b0ed4-03c0-1273-39ac-da2b659062e5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/matsunami/document/ab2b0ed4-03c0-1273-39ac-da2b659062e5	http://creativecommons.org/licenses/by/4.0/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a26dd714c8f1a590294958f729380ba7139162d2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22406			Catalogue of the Kawaguchi-Takakusu Collection of Sanskrit manuscripts. Note-book(松濤ノート)			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ab2b0ed4-03c0-1273-39ac-da2b659062e5/manifest					27
